title,media
Pete Buttigieg targeted in operation by right-wing provocateur Jacob Wohl,WASHINGTON — A young Michigan man claims he became an unwitting participant in a plot by right-wing provocateurs Jacob Wohl and Jack Burkman to ...
The 'weird parallels' between Vice President Mike Pence and presidential hopeful Pete Buttigieg,"While Vice President Mike Pence and presidential hopeful Pete Buttigieg are at odds on many issues, they also have many things in common."
LGBTQ donors help Pete Buttigieg defy 2020 expectations,"Lesbian, gay, bisexual, transgender and queer donors have helped ""Mayor Pete"" raise more than $7 million in just over two months."
A Look At How Pete Buttigieg Is Reaching Out To Voters,"Many Democrats are focused on winning back white, working-class voters. South Bend, Ind., Mayor Pete Buttigieg, an emerging 2020 candidate, has been ..."
"Oprah calls Pete Buttigieg 'Buttabeep, Buttaboop' -- and he doesn't mind","South Bend Mayor Pete Buttigieg doesn't mind what Oprah Winfrey calls him, as long as the famed television icon calls him."
Pete Buttigieg lunches with Al Sharpton as he works to court African American voters,"New York (CNN) South Bend Mayor Pete Buttigieg lunched with Rev. Al Sharpton in Harlem on Monday, receiving advice on winning over the African American ..."
Behind the media's fascination with Mayor Pete Buttigieg,"Olivia Nuzzi, who just wrote a NYMag cover story about Mayor Pete Buttigieg, says the candidate is benefiting from being so available for interviews: ""Nobody ..."
What Happened When Pete Buttigieg Tore Down Houses In Black And Latino South Bend,"""Everyone wants to find a villain,"" a South Bend politician said of Mayor Pete Buttigieg's housing program. ""This is just how economic development happens."""
Davich: Pete Buttigieg's public kiss reflects much more than another political photo op,"When I watched South Bend Mayor Pete Buttigieg embrace and kiss his husband, Chasten Buttigieg, I was genuinely touched."
2020 candidate Pete Buttigieg responds to anti-gay heckler at Iowa rally – video,"Pete Buttigieg, a 2020 candidate who would be the first openly gay US president if elected, responds to a heckler at a rally in Des Moines, Iowa."
"Vogue can make anyone look glamorous, including Pete Buttigieg",Pete Buttigieg is having his Vogue moment. And Vogue has not let him down. The 37-year-old presidential candidate is featured in the June issue of the fashion ...
Mayor Pete Buttigieg on a religious left revival,Toluse Olorunnipa on the staffing turmoil within the Department of Homeland Security. Sarah Pulliam Bailey on likely presidential candidate Pete Buttigieg's faith ...
"Buttigieg Lays Out Agenda For Black America, Explains 'All Lives Matter' Comment",The 2020 Democratic candidate and mayor of a majority-white Indiana city has gone on urban radio and spoke to a major civil rights group and has addressed ...
Pete Buttigieg and Beto O’Rourke Stake Out Similar Turf in a Crowded Field,"As the presidential nominating contest narrows next year, there may not be room for two white men under 50 who present themselves as mainstream ..."
Pete Buttigieg officially announces he is running for president: 'Let's make history',South Bend Mayor Pete Buttigieg announced that he's officially running for the Democratic nomination for president in 2020.
New poll shows Pete Buttigieg surging into top tier in New Hampshire with Biden and Sanders,"Support for Pete Buttigieg jumped 14 points in a new Granite State Poll from the University of New Hampshire, launching him into the first-in-the-nation primary ..."
Buttigieg explains controversy surrounding taped calls,"Mayor Pete Buttigieg explains why he asked Police Chief Darryl Boykins, who is black, to resign after a controversy surrounding secret phone recordings while ..."
Buttigieg rises in polls as husband's popularity grows,Presidential candidate Pete Buttigieg is rising in the 2020 polls and his husband Chasten's popularity grows. CNN's Kate Bennett reports.
Why Pete Buttigieg may be reviving progressive ideals of the Social Gospel Movement,"Pete Buttigieg's recent comments on Christian values, have drawn much attention. They might be quite similar to the ideals espoused by the Midwestern ..."
Religious conservatives grapple with how to respond to Buttigieg,"Religious conservatives are faced with a new challenge in responding to Pete Buttigieg, a Democratic candidate who is leaning into discussions on faith."
New polls in Iowa and New Hampshire show Pete Buttigieg on the rise,WASHINGTON (CNN) Two new polls from the states that will be the first to weigh in on the Democratic field next year show former Vice President Joe Biden and ...
Buttigieg campaign getting a Massachusetts boost from Grossman,"Steve Grossman, the former Democratic National Committee chairman and three-time statewide candidate, is endorsing Pete Buttigieg for president."
Pete Buttigieg Just Had One Hell of a Week,"Less than a minute after sitting down with South Bend Mayor Pete Buttigieg, Ellen DeGeneres gave voice to the obvious. “It's happening fast, right?” she said, of ..."
Buttigieg pressed on why he doesn't have policy proposals,"During a town hall, CNN's Anderson Cooper questions Democratic presidential candidate Pete Buttigieg on why his campaign website has no policy page."
"Buttigieg will no longer accept donations from lobbyists, returns $30,250 contributions","Pete Buttigieg announced Friday that his campaign will no longer accept donations from registered lobbyists and will return over $30,000 in donations."
Presidential hopeful Pete Buttigieg’s unlikely link with Bernie Sanders,"Presidential aspirant Pete Buttigieg speaks to the press at Gibson's Bookstore in Concord, N.H. Photo by Kevin O'Connor/VTDigger. CONCORD, N.H. — Two ..."
"Watch: In Boston, Pete Buttigieg Calls For New Generation Of Leadership","During an interview with Boston Public Radio, the South Bend Mayor said he's been pleasantly surprised at the success of his campaign."
The unlikely rise of 2020 Democratic primary contender Pete Buttigieg,"The 2020 Democratic primary field is already crowded with big names. It is mostly dominated by senators, who come with huge national profiles: Elizabeth ..."
Buttigieg: 'I would stack up my experience against anybody',"South Bend Mayor Pete Buttigieg defended his lack of executive experience Sunday, arguing that voters should look at the “quality, as well as quantity."""
How Astonishing Is Mayor Pete’s Rise?,"Buttigieg has come a long way in a short time. But he has much, much further to go to catch up with the front-runners."
"In New Hampshire, many older Democrats see Pete Buttigieg's age as an asset","Concord, N.H. — It was, in some ways, an incongruous scene: Pete Buttigieg, the 37-year-old Democratic presidential hopeful running on a message of ..."
Pete Buttigieg Offers America Double Relief,He can deliver us from a scandal-plagued presidency and transform the relationship between gay and straight America.
Q&A: Pete Buttigieg digs Phish and Radiohead — but don't expect them at his inauguration,"Presidential candidate Pete Buttigieg defends his very millennial music taste, from his love of Dave Matthews jams to his preference for the difficult Radiohead ..."
"Buttigieg on Trump official's 'hate hoax' criticism: 'I'm not a master fisherman, but I know bait when I see it'","Pete Buttigieg refused to engage when asked about a Trump administration official who accused him of pushing a ""hate hoax"" during a back and forth with Vice ..."
How Pete Buttigieg stole Beto O’Rourke’s mojo,Their favorite books say lots about their differences.
Trump on 'Hannity': 'I'm rooting for' South Bend Mayor Pete Buttigieg,"Trump offered thoughts on several of his potential Democratic challengers for 2020, including South Bend Mayor Pete Buttigieg."
Obama Alumni for Buttigieg,"Susan Rice, Jay Carney and Stephanie Cutter are among Buttigieg's early donors."
Democrats Have to Decide Whether Faith Is an Asset for 2020,"The religious left has gotten giddy about South Bend Mayor Pete Buttigieg, but campaign infrastructure and policy matter more than rhetoric."
Buttigieg Talks Charter Schools,"The mayor of South Bend, Indiana, Pete Buttigieg, says charter schools “have a place” as “a laboratory for techniques that can be replicated.” Buttigieg, who is ..."
Pete Buttigieg wants a national service program. Could it heal a divided country?,"Democratic 2020 presidential candidate Pete Buttigieg says a national *service* program for young adults could help ""social cohesion."" Not all agree."
Buttigieg is a symbol for a rising Christian left,"Erick Erickson's comments about Pete Buttigieg represent the fear by some on the Christian right of an incipient and growing progressive Christian movement, ..."
"Pete Buttigieg on Gun Reform, Universal Background Checks, and Banning AR-15s","Pete Buttigieg is a 37-year-old South Bend, Indiana mayor running for president in 2020. Here's everything you need to know about the Democratic candidate's ..."
Buttigieg Says Success As South Bend's Mayor Prepared Him To Be President,"As the mayor of South Bend, Ind., Pete Buttigieg says he can bridge the divide between progressives and ""red state"" voters. He is expected to announce he's ..."
Pete Buttigieg Is a National Hero ... in Malta,"The Maltese are already making plans for what they will do if their favorite son's son, Pete Buttigieg, is elected as the next U.S. president."
"Buttigieg, Fox News in talks on town hall | TheHill","Democratic presidential candidate Pete Buttigieg is in talks with Fox News about appearing in a town hall event on the network, a campaign spokesperson told ..."
Pete Buttigieg: God does not have a political party,"Pete Buttigieg opened up about his faith during a CNN town hall, expressing confidence that he will be able to unite many different groups of people because ..."
"If Pete Buttigieg’s face is his message, it’s not yet complete","The 37-year-old mayor is rising in the presidential polls — but will youth, a great résumé and phrases such as “we need generational change” be enough?"
Gwyneth Paltrow and Pete Buttigieg: a match made in intellectual hell,"Arwa Mahdawi: She's the postergirl for pseudoscience, he's the presidential candidate who's big of brain but short on policy."
Buttigieg slams Electoral College for overruling popular vote 'twice in my lifetime' | TheHill,"South Bend, Ind., Mayor Pete Buttigieg (D) on Sunday made his call to scrap the Electoral College part of his 2020 campaign launch."
Pete Buttigieg Is Trump's Kryptonite,"Mayor Pete's campaign is about finally grabbing 'freedom, security, and democracy' back from the GOP, and dashing for higher, non-ideological ground."
2020 presidential polls: Pete Buttigieg in photos,"South Bend Mayor Pete Buttigieg speaks to members of the media after his final State of the City address in South Bend, Ind. on Tuesday, March 12, 2019."
Hinge in the White House,"It's common knowledge that Barack Obama met the woman who eventually became his wife, Michelle Robinson, when he came to work at her law firm as a ..."
Hear similarities between Buttigieg and Obama's speeches,Mayor Pete Buttigieg's official presidential campaign announcement speech had some similarities to then-candidate Barack Obama's speech. Watch the clips ...
Watch live: Pete Buttigieg officially announces presidential campaign | TheHill,"South Bend, Ind., Mayor Pete Buttigieg will officially announce his run for president in his home state Sunday at 2 p.m.."
"'You only get to be one person': Buttigieg, Maddow on coming out, weight of 'the closet'",MSNBC host Rachel Maddow and 2020 Democratic presidential hopeful Pete Buttigieg have a frank discussion about life in the closet and coming out as gay.
Buttigieg on Pence: My quarrel is with this ...,"Democratic presidential candidate Mayor Pete Buttigieg says his faith influences the way he sees the politics, and explains why it conflicts with Vice President ..."
Mayor Pete Buttigieg Hits LA to Boost Hollywood Support,"The rising presidential hopeful was joined by rivals Kamala Harris and Cory Booker in visiting Los Angeles in late March, appearing at everything from an HRC ..."
Buttigieg to Pence: Your quarrel is with my creator,"Democratic presidential hopeful Pete Buttigieg took on Vice President Mike Pence, whose stances on LGBTQ issues have faced criticism from gay rights activists ..."
Silver Bulletpoints: We’ve Got Your Backlash To The Buttigieg Backlash,Welcome to the first edition of … [taps microphone and grins sheepishly] … Silver Bulletpoints. You don't want to know how much time we spent workshopping ...
Warren's the professor and Buttigieg is the charismatic student without his homework. Guess who voters like best?,"Washington (CNN) There were five Democratic candidates, back-to-back on the same stage at CNN's epic youth-centered town hall in New Hampshire, and all ..."
"Pete Buttigieg, Amy Klobuchar side with striking Stop & Shop workers","The Stop & Shop picket line has quickly become a must-hit on the presidential primary trail for Democrats, with two more candidates scrambling to show their ..."
An 18-year-old Pete Buttigieg won a JFK Library essay contest. His subject was Bernie Sanders.,"Nearly two decades ago, an Indiana high school student won a national award from the John F. Kennedy Library for his essay about a little-known Vermont ..."
Buttigieg: I wouldn't be running if I hadn't come out,Mayor Pete Buttigieg discusses with CNN's Anderson Cooper how he thinks his life would've been different if he had come out sooner.
Democratic presidential candidate Pete Buttigieg schedules first Richmond visit; Beto O'Rourke is in Short Pump on Tuesday,"Democratic presidential candidate Pete Buttigieg, the mayor of South Bend, Ind., will visit Richmond on June 15."
"'God Made Me This Way': Buttigieg, BYU Student Reconcile Identity And Faith","A presidential candidate and a Utah commencement speaker have both explained their sexuality by saying, ""God made me this way."" Faith, politics and the ..."
Watch Buttigieg's measured response to protester,"While on the 2020 campaign trail in Iowa, Democratic candidate Pete Buttigieg was confronted by a conservative protester."
"Pete Buttigieg Says Trump Deserves Impeachment, and He Will 'Relegate Trumpism to the Dustbin of History'","Speaking at a CNN town hall, the Democratic presidential candidate said it's up to Congress to decide on whether to begin impeachment proceedings."
